,unit_name,furnish_status,num_rooms,num_bathroom,elec_power,location,longitude,latitude,size,room_type,property_type,building,tower,floor_num,room_facility,kitchen_facility,building_facility,clean_rating,location_rating,satisfaction_rating,checkin/out_rating,economic_rating,staff_rating,total_rating,monthly_price
0,Comfort 2BR at Nifarro Park Apartment By Travelio - Jakarta,Full Furnished,2,1.0,3600.0,"Jl. Raya Pasar Minggu, RT.1/RW.1, Pejaten Timur, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12510",106.84415861964226,-6.263363578451597,51.5,Seluruh Rumah / Apartemen,Apartemen,Apartemen Nifarro Park,A,11.0,"Queen Bed (160x200),Pillow,Wardrobe,Air Conditioner,Curtain,Hanger,AC Remote,Bed Config :,1 Queen Bed (160x200)","Single Bed (100x200),Pillow,Wardrobe,Air Conditioner,Hanger,AC Remote,Bed Config :,1 Single Bed (100x200)","Access Card,Elevator",5.0,5.0,5.0,5.0,5.0,5.0,5.0,7536412.0
1,Cozy Stay Studio Tokyo Riverside PIK 2 Apartment By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Lemo, Kabupaten Tangerang, Banten, Indonesia",106.692587,-6.0420121,21.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Tokyo Riverside PIK 2,AKHIBARA,16.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Curtain,Smart TV,Pillow,Hanger,AC Remote,Remote TV,Mirror,Vanity Desk,Chair,Bed Config :,1 Queen Bed (160x200)","Gas Stove (Not Portable),Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,Jogging Track,Playground,Supermarket,Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,3320000.0
2,Comfort Studio Room at Tifolia Apartment By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Jl. Perintis Kemerdekaan No.23, RW.16, Kayu Putih, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13210",106.89268112182617,-6.175350308134791,21.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Tifolia,TF,22.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Blackout Curtain,TV 32"",Pillow,Hanger,AC Remote,Remote TV,Cable TV,Mirror,Dining Chair,Dining Table,Coffee Table,Bed Config :,1 Queen Bed (160x200)","Electric Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,CCTV In Public Area,Elevator,Swimming Pool",4.8,4.8,4.8,4.8,4.8,4.8,4.8,3470000.0
3,Comfort 2BR at 20th Floor Green Pramuka City Apartment By Travelio - Jakarta,Full Furnished,2,1.0,1300.0,"Jl. A. Yani No.32, RT.16/RW.9, Rawasari, Cempaka Putih, Jakarta Pusat, DKI Jakarta, 10570",106.87484,-6.188552,33.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Pramuka City,BOUGENVILLE,20.0,"Queen Bed (160x200),Mattress Protector 200x200,Pillow,Mirror,Wardrobe,Air Conditioner,Blackout Curtain,Hanger,Vanity Desk,AC Remote,Chair,Bed Config :,1 Queen Bed (160x200)","Single Bed (90x200),Mattress Protector 200x200,Pillow,Wardrobe,Blackout Curtain,Hanger,Exhaust Fan,Bed Config :,1 Single Bed (90x200)","24-Hour Security,ATM On Site,Access Card,CCTV In Public Area,Elevator,Jogging Track,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",,,,,,,,5199315.0
4,Comfortable and Simply Studio at Citra Living Apartment By Travelio - Jakarta,Full Furnished,1,1.0,1200.0,"Jl. Citra 7 No.7, RW.11, Kalideres, Kalideres, Jakarta Barat, DKI Jakarta, 11840",106.70166358351707,-6.146017734755382,22.61,Seluruh Rumah / Apartemen,Apartemen,Apartemen Citra Living,Lotus,3.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Curtain,Smart TV,Pillow,Hanger,AC Remote,Remote TV,Antena Indoor,Mirror,Vanity Desk,Chair,Bed Config :,1 Queen Bed (160x200)","Induction Stove (2 Furnace),Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,CCTV In Public Area,Fitness Center,Playground,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4405470.0
5,Affordable 2BR Gajah Mada Mediterania Apartment By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. Gajah Mada No.174, Tamansari, Jakarta Barat, DKI Jakarta, 10130",106.81557297706604,-6.149269878169312,40.66,Seluruh Rumah / Apartemen,Apartemen,Apartemen Gajah Mada Mediterania,Betha,20.0,"Bowl,Chopping Board,Colander,Cooking Knife,Dining Chair,Dining Table,Dustbin,Exhaust Fan,Fork,Frying Pan,Gallon,Gas Stove,Kettle (Siul),Kitchen Set,Mops,Plate,Refrigerator,Sauce Pan,Scissor,Spatula,Tablespoon,Water Dispenser","Air Conditioner,TV,Sofa","24-Hour Security,Access Card,CCTV In Public Area,Elevator,Swimming Pool",4.8,4.8,4.8,4.8,4.8,4.8,4.8,5559277.0
6,Comfy 2BR Puri Orchard Apartment By Travelio - Jakarta,Full Furnished,2,1.0,3500.0,"Jl. Lkr. Luar Barat No.Kav.8, RT.2/RW.3, Rw. Buaya, Cengkareng, Jakarta Barat, DKI Jakarta, 11740",106.72925412654877,-6.166091635602988,50.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Puri Orchard,CH Wing A,28.0,"Bowl,Chopping Board,Colander,Cooking Knife,Dining Chair,Dining Knife,Dining Table,Dustbin,Exhaust Fan,Fork,Frying Pan,Gas Stove,Kettle (Siul),Kitchen Scissor,Kitchen Set,Microwave,Mixing Bowl,Mops,Plate,Refrigerator,Sauce Pan,Serving Plate,Spatula,Tablespoon","Curtain,Air Conditioner,TV,Sofa,Sofa Pillow,Side Table","24-Hour Security,Basketball Court,Elevator,Fitness Center,Laundry (Charge),Minimarket,Playground,Sky Garden,Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,7090000.0
7,Comfy 2BR Gading Greenhill Apartment By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. Pegangsaan Dua No.97, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, DKI Jakarta, 14240",106.91625773906708,-6.147627141545745,79.76,Seluruh Rumah / Apartemen,Apartemen,Apartemen Gading Greenhill,A,16.0,"Queen Bed (160x200),Pillow,Bolster,Wardrobe,Hanger,Mirror,Vanity Desk,Air Conditioner,TV,Table,Chair,Side Table,Clock,Blackout Curtain,Blanket,Bed Config :,1 Queen (160x200)","Single Bed (100x200),Pillow,Wardrobe,Setrika,Iron Board,Desk,Blackout Curtain,Blanket,Bed Config :,1 Single (100x200)","24-Hour Security,ATM On Site,Access Card,CCTV In Public Area,Elevator,Fitness Center,Laundry (Charge),Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,6456485.0
8,Comfortable 2BR at Green Palace Kalibata Apartment By Travelio - Jakarta,Full Furnished,3,1.0,2200.0,"Jl. Raya Kalibata No.09/04, RT.1 Rt/RW.4, Rawajati, Pancoran, Jakarta Selatan, DKI Jakarta, 12750",106.85046046972275,-6.256900672828798,35.5,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Palace Kalibata,Nusa Indah,6.0,"Queen Bed (160x200),Pillow,Wardrobe,Hanger,Mirror,Curtain,Vanity Desk,Air Conditioner,Bed Config :,1 Queen (160x200)","Single Bed (100x200),Pillow,Wardrobe,Hanger,Mirror,Vanity Desk,Exhaust Fan,Bed Config :,1 Single (100x200),1 Single (Underbed)","ATM On Site,Access Card,Cafe,Elevator,Laundry (Charge),Playground,Restaurant,Shops",4.8,4.8,4.8,4.8,4.8,4.8,4.8,5110968.0
9,Comfy 2BR Callia Apartment By Travelio - Jakarta,Full Furnished,2,2.0,3500.0,"Jl. Perintis Kemerdekaan No.23, Kayu Putih, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13210",106.89276158809662,-6.176491630988401,64.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Callia,CL,20.0,"Bowl,Chopping Board,Cooking Knife,Dining Chair,Dustbin,Fork,Frying Pan,Gas Stove,Microwave,Mops,Mug,Plate,Refrigerator,Sauce Pan,Tablespoon,Teko Elektrik,Washing Machine","Washing Machine,Dustbin,Mirror,Curtain,Air Conditioner,TV,Sofa Bed,Complimentary Bottled Water","24-Hour Security,ATM On Site,Access Card,Cafe,Elevator,Fitness Center,Restaurant,Supermarket,Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,7091500.0
